,tl_x,tl_y,br_x,br_y,type,side,step,time
0,394.00,11.00,399.00,16.00,2,0,0,0.25
1,165.60,222.62,168.21,224.57,1,0,1,0.051
2,316.65,261.68,318.27,264.95,0,0,0,0.063
3,275.26,317.24,276.16,318.77,0,0,0,0.018
4,295.70,301.67,297.33,302.55,0,1,0,0.017
5,80.91,260.07,86.00,265.78,0,0,1,0.308
6,137.23,303.83,139.74,307.10,0,1,0,0.092
7,354.93,175.13,358.21,179.69,0,0,0,0.163
8,298.01,337.63,301.29,339.17,0,1,0,0.055
9,61.12,118.90,65.54,122.07,0,0,0,0.15
10,156.81,145.89,159.95,148.31,0,0,0,0.083
11,163.59,0.00,168.97,9.92,0,0,0,0.563
12,373.25,266.36,376.43,268.82,0,0,0,0.086
13,320.31,340.82,323.59,343.24,0,0,0,0.087
14,346.14,173.85,349.29,178.43,0,0,0,0.158
15,86.11,89.81,89.68,91.52,0,0,0,0.066
16,144.85,154.42,148.09,155.93,0,0,0,0.053
17,259.63,359.21,265.34,364.29,0,0,0,0.305
18,156.17,344.96,158.15,346.28,0,0,0,0.03
19,258.45,353.36,264.84,354.36,0,0,0,0.067
20,272.84,344.85,275.99,346.38,0,0,0,0.053
21,100.39,10.85,103.65,13.35,0,0,0,0.089
22,295.29,357.65,298.42,362.07,0,1,0,0.152
23,260.32,20.64,262.37,22.17,0,0,0,0.036
24,337.88,175.67,339.90,176.90,0,0,0,0.029
25,306.42,339.39,307.47,339.95,0,0,0,0.008
26,282.89,299.36,288.54,304.36,0,0,0,0.297
27,150.85,330.64,151.83,331.14,0,0,0,0.006
28,367.01,150.19,368.65,153.38,0,0,0,0.062
29,174.22,261.54,186.93,272.38,0,0,1,1.41
30,124.66,0.00,127.25,7.40,0,0,0,0.214
31,154.95,237.73,155.88,238.23,0,0,1,0.006
32,151.41,0.00,152.29,1.54,0,0,0,0.018
33,123.79,173.58,125.39,176.84,0,1,0,0.062
34,367.25,278.29,370.47,290.95,0,0,0,0.446
35,229.93,146.12,233.19,147.71,0,0,1,0.057
36,219.21,83.83,232.79,86.68,0,0,1,0.396
37,370.56,80.25,378.39,82.79,0,0,0,0.207
38,367.23,163.13,372.22,168.80,0,0,0,0.3
39,135.42,171.86,137.09,175.12,0,1,0,0.064
40,122.13,131.57,125.38,133.20,0,0,0,0.058
41,77.46,98.95,78.62,100.99,0,0,0,0.03
42,230.53,250.24,232.57,251.48,0,0,0,0.029
43,190.54,80.93,192.99,84.09,0,0,0,0.087
44,100.32,100.48,103.56,111.26,0,0,0,0.382
45,109.38,270.90,112.11,274.78,0,0,1,0.118
46,60.62,320.94,80.97,368.43,0,0,0,9.807
47,184.98,68.92,186.03,79.91,0,0,0,0.148
48,274.63,310.70,280.33,315.60,0,1,0,0.294
49,230.03,268.83,236.61,276.82,0,0,0,0.55
50,380.44,350.95,385.46,356.72,0,0,0,0.307
51,114.81,172.12,115.53,173.71,0,0,0,0.016
52,0.26,340.91,6.74,348.90,0,0,0,0.542
53,369.14,264.03,372.28,266.59,0,0,0,0.088
54,90.35,0.00,95.43,5.70,0,0,0,0.307
55,140.19,360.81,148.15,367.36,0,0,0,0.541
56,348.73,250.65,354.39,255.59,0,0,0,0.294
57,307.12,300.59,311.54,303.74,0,0,0,0.149
58,277.86,139.15,284.42,147.24,0,1,1,0.555
59,354.22,388.83,355.81,392.00,0,1,0,0.06
