,tl_x,tl_y,br_x,br_y,type,side,step,time
0,402.00,8.00,407.00,13.00,2,0,0,0.25
1,186.47,5.28,187.30,6.78,0,0,0,0.017
2,279.22,177.62,283.77,180.86,0,0,0,0.157
3,415.27,13.41,416.90,16.62,0,1,0,0.062
4,238.71,188.31,239.99,190.26,0,0,0,0.031
5,141.61,187.62,156.39,188.78,0,0,0,0.175
6,320.44,10.89,321.76,16.17,0,1,0,0.086
7,172.03,205.02,176.26,213.00,0,1,0,0.361
8,400.69,180.73,403.27,183.86,0,0,0,0.09
9,185.36,93.60,187.00,96.78,0,1,0,0.062
10,403.21,147.35,409.61,155.35,0,1,0,0.536
11,214.79,109.17,219.78,114.85,0,0,0,0.3
12,360.22,70.66,363.33,73.26,0,0,0,0.089
13,370.41,90.11,373.57,92.57,0,0,0,0.085
14,230.82,200.25,232.49,201.05,0,0,0,0.016
15,360.38,60.39,360.90,61.41,0,0,0,0.008
16,125.54,159.75,131.94,167.66,0,1,0,0.53
17,285.19,150.53,287.23,151.85,0,0,0,0.031
18,395.10,149.53,398.32,151.13,0,0,0,0.056
19,140.71,90.46,142.04,92.37,0,0,0,0.031
20,10.71,150.86,13.93,155.36,0,0,0,0.158
21,150.47,159.46,156.83,160.90,0,0,0,0.096
22,104.29,116.20,112.35,122.79,0,0,1,0.551
23,382.69,178.24,385.12,181.48,0,0,0,0.088
24,290.32,90.40,293.59,92.93,0,0,0,0.09
25,360.81,150.53,361.86,151.11,0,0,0,0.008
26,330.23,100.52,336.92,101.78,0,0,0,0.088
27,190.07,40.50,194.65,43.63,0,0,0,0.153
28,236.26,103.05,241.87,108.14,0,0,0,0.301
29,205.84,51.87,212.30,59.83,0,0,0,0.538
30,275.16,161.08,285.23,162.23,0,0,0,0.119
31,334.04,144.63,334.54,145.58,0,0,0,0.008
32,370.32,70.31,371.50,71.61,0,0,0,0.019
33,155.37,175.95,161.81,183.87,0,1,0,0.534
34,120.33,140.93,127.72,145.54,0,0,0,0.355
35,220.85,200.47,222.48,201.28,0,0,0,0.016
36,320.90,100.16,322.59,101.06,0,0,0,0.018
37,320.90,110.75,325.31,113.17,0,1,0,0.114
38,367.33,154.74,375.41,161.18,0,0,0,0.54
39,111.34,198.58,114.51,203.17,0,0,0,0.159
40,150.55,40.06,153.85,44.55,0,1,0,0.162
41,161.27,185.87,171.05,195.28,0,0,0,0.949
42,356.95,92.26,358.63,95.54,0,1,0,0.065
43,250.80,220.00,259.13,226.51,0,0,0,0.562
44,250.37,30.58,260.62,33.18,0,0,0,0.274
45,300.28,83.08,305.48,91.96,0,0,0,0.488
46,70.81,180.32,75.22,183.59,0,0,0,0.154
47,138.24,146.92,141.41,151.47,0,0,0,0.158
48,253.54,98.25,254.85,100.20,0,0,0,0.031
49,321.58,69.64,329.63,71.88,0,0,0,0.187
50,371.68,162.67,372.86,164.69,0,0,0,0.03
51,187.73,56.77,188.43,58.27,0,0,0,0.015
52,134.97,143.59,136.91,145.24,0,1,0,0.037
53,331.01,101.94,337.43,110.00,0,0,0,0.542
54,90.62,176.36,91.80,178.38,0,0,0,0.03
55,178.83,204.54,190.55,216.47,0,0,0,1.434
56,380.16,30.54,386.65,38.47,0,0,0,0.538
57,311.57,155.54,313.09,158.74,0,0,0,0.058
58,250.41,100.51,253.58,102.96,0,0,0,0.085
