,tl_x,tl_y,br_x,br_y,type,side,step,time
0,15.00,3.00,20.00,8.00,2,0,0,0.25
1,97.44,261.54,102.35,262.65,1,0,0,0.055
2,171.06,257.63,172.57,270.99,1,0,0,0.202
3,117.60,52.45,124.14,60.46,0,0,1,0.548
4,83.30,106.62,83.80,107.65,0,0,0,0.008
5,52.47,57.88,55.60,59.55,0,0,0,0.057
6,104.77,247.78,106.39,248.48,0,0,0,0.013
7,111.39,215.65,114.58,220.10,0,0,0,0.155
8,97.99,267.94,101.09,269.50,0,0,0,0.053
9,124.09,91.45,129.70,96.44,0,1,1,0.295
10,138.10,86.98,141.28,91.40,0,0,1,0.154
11,156.68,104.54,157.77,105.10,0,1,0,0.008
12,122.09,83.02,126.98,84.28,0,0,1,0.065
13,169.43,195.54,170.44,196.04,0,0,0,0.007
14,156.69,22.24,157.66,22.74,0,1,1,0.006
15,144.16,58.87,146.10,60.18,0,0,1,0.029
16,100.10,50.11,101.19,50.61,0,0,0,0.007
17,137.67,78.41,138.91,79.52,0,0,1,0.017
18,143.80,65.72,145.81,67.06,0,0,1,0.031
19,19.84,247.84,30.60,250.71,0,0,0,0.317
20,163.26,175.92,168.92,180.86,0,0,0,0.294
21,85.52,26.25,88.73,27.92,0,0,1,0.059
22,65.68,98.55,66.76,100.46,0,0,1,0.026
23,132.91,91.85,137.43,95.10,0,1,1,0.157
24,57.16,213.07,60.35,217.50,0,0,0,0.155
25,92.04,104.40,95.31,108.88,0,0,0,0.16
26,45.07,257.94,46.41,259.88,0,1,0,0.032
27,95.35,89.01,97.77,92.28,0,1,1,0.089
28,134.52,13.82,137.80,18.34,0,0,0,0.162
29,100.32,73.13,102.89,76.33,0,0,0,0.092
30,98.57,137.32,112.59,143.33,0,1,0,0.861
31,104.52,222.01,105.59,222.51,0,0,0,0.007
32,64.46,27.75,65.51,37.67,0,0,1,0.134
33,104.48,156.77,109.04,159.95,0,0,0,0.155
34,35.66,191.63,42.17,199.60,0,0,0,0.543
35,53.59,196.48,58.10,199.62,0,0,0,0.151
36,46.49,39.87,49.73,41.53,0,1,0,0.059
37,52.21,0.58,54.83,1.73,0,1,0,0.034
38,85.31,143.34,86.28,143.86,0,0,0,0.007
39,47.66,205.58,52.33,206.71,0,0,0,0.056
40,95.10,126.09,99.64,129.30,0,0,0,0.155
41,46.45,52.31,48.55,53.53,0,0,0,0.029
42,117.28,104.46,118.94,107.61,0,0,0,0.062
43,130.65,33.04,132.74,34.21,0,0,1,0.028
44,86.40,17.26,92.16,22.34,0,0,1,0.308
45,137.15,52.90,143.64,60.97,0,0,1,0.548
46,72.20,39.59,85.08,44.44,0,0,1,0.639
47,137.06,169.52,139.40,170.52,0,0,0,0.026
48,66.00,141.22,66.99,141.72,0,0,0,0.006
49,71.47,211.86,72.90,212.95,0,0,0,0.019
50,172.38,63.59,173.39,65.40,0,0,1,0.024
51,56.01,23.90,59.16,26.32,0,0,1,0.083
52,84.71,72.42,85.62,72.99,0,1,1,0.007
53,33.01,183.27,36.11,187.78,0,0,0,0.153
54,29.92,194.37,33.09,198.85,0,0,0,0.155
55,137.05,98.48,141.53,101.68,0,0,0,0.153
56,103.34,223.09,105.82,226.30,0,0,0,0.089
57,96.40,220.55,101.47,226.33,0,0,0,0.31
58,85.60,8.58,86.43,10.10,0,1,0,0.017
59,117.86,65.69,118.97,80.02,0,0,0,0.202
60,78.64,83.05,79.46,84.61,0,0,1,0.017
