,tl_x,tl_y,br_x,br_y,type,side,step,time
0,5.00,13.00,10.00,18.00,2,0,0,0.25
1,0.94,45.61,9.33,51.57,0,1,0,0.518
2,68.67,107.57,73.13,110.73,0,0,1,0.15
3,12.76,32.54,13.33,33.63,0,0,0,0.009
4,102.31,135.67,104.29,136.86,0,1,0,0.027
5,123.73,145.02,125.28,145.82,0,1,1,0.015
6,23.19,23.35,24.80,26.53,0,0,0,0.061
7,69.97,62.99,71.63,63.81,0,0,0,0.016
8,68.26,22.96,72.68,26.19,0,0,0,0.152
9,172.33,83.05,184.94,93.98,0,0,0,1.411
10,122.20,85.94,128.65,93.93,0,1,0,0.539
11,9.40,186.40,11.30,195.66,0,1,0,0.204
12,203.83,192.89,205.52,193.77,0,0,0,0.018
13,214.99,34.21,229.35,36.39,0,0,0,0.32
14,243.02,96.26,250.98,102.67,0,0,0,0.529
15,197.23,98.26,200.52,99.94,0,0,0,0.06
16,9.45,157.69,12.59,159.38,0,0,0,0.058
17,119.39,203.46,124.37,209.21,0,0,1,0.304
18,74.11,203.96,80.70,211.90,0,1,0,0.547
19,73.61,102.50,80.16,110.52,0,0,1,0.549
20,141.30,113.36,187.83,168.79,0,0,1,25.958
21,5.91,34.66,9.13,37.20,0,0,0,0.089
22,216.41,97.30,219.55,98.85,0,0,0,0.053
23,243.22,28.75,246.33,31.24,0,0,0,0.085
24,98.94,186.99,106.85,193.48,0,0,0,0.533
25,115.05,179.09,122.33,187.91,0,1,1,0.669
26,250.41,46.80,253.00,50.04,0,1,0,0.094
27,0.00,27.73,2.92,34.10,0,0,0,0.205
28,209.91,107.73,211.87,109.22,0,0,0,0.034
29,187.17,0.59,199.19,12.90,0,0,0,1.517
30,39.64,68.57,42.92,71.17,0,0,0,0.093
31,202.61,26.93,205.89,28.60,0,0,0,0.06
32,6.48,181.13,6.98,182.05,0,0,0,0.007
33,152.66,186.60,153.55,188.25,0,0,1,0.02
34,119.51,141.62,131.31,143.64,0,1,1,0.244
35,68.18,172.04,68.88,173.63,0,1,0,0.016
36,170.35,170.05,172.12,173.66,0,1,1,0.075
37,52.20,81.42,57.84,86.48,0,0,1,0.301
38,132.53,76.91,133.11,77.85,0,0,0,0.008
