,tl_x,tl_y,br_x,br_y,type,side,step,time
0,12.00,18.00,17.00,23.00,2,0,0,0.25
1,30.63,126.33,33.89,127.94,0,0,0,0.057
2,62.56,151.84,65.68,153.50,0,0,0,0.057
3,183.68,17.84,186.82,19.45,0,0,0,0.055
4,94.48,24.21,97.67,25.82,0,0,0,0.056
5,254.09,286.01,257.19,287.69,0,1,0,0.057
6,151.76,43.30,154.89,44.86,0,0,0,0.054
7,317.78,17.83,320.96,19.39,0,0,0,0.054
8,94.48,170.94,97.65,172.50,0,0,0,0.054
9,75.18,11.37,78.33,12.88,0,0,0,0.052
10,222.11,132.78,225.35,134.31,0,0,0,0.054
11,145.39,81.69,148.52,83.28,0,1,0,0.054
12,260.39,11.38,263.63,12.98,0,0,0,0.057
13,43.30,241.33,46.42,242.95,0,0,0,0.056
14,81.52,151.77,84.71,153.34,0,0,0,0.055
15,151.92,126.27,155.13,127.95,0,0,0,0.059
16,292.24,215.60,295.36,217.22,0,0,1,0.055
17,107.21,228.43,110.35,230.02,0,0,0,0.055
18,279.64,247.61,282.78,249.30,0,0,0,0.058
19,273.16,317.82,276.36,319.41,0,0,0,0.056
20,177.45,298.63,180.75,300.24,0,0,0,0.058
21,247.70,209.29,250.96,210.94,0,0,1,0.059
22,55.99,190.13,59.28,191.81,0,0,0,0.06
23,298.65,273.21,301.85,274.82,0,0,0,0.056
24,209.31,196.61,212.55,198.13,0,0,0,0.054
25,241.23,11.42,244.42,13.11,0,0,0,0.059
26,228.56,62.50,231.73,64.01,0,1,0,0.052
27,183.73,36.90,186.87,38.54,0,0,0,0.056
28,273.18,164.53,276.31,166.22,0,0,1,0.058
29,203.00,43.32,206.18,44.85,0,0,0,0.053
30,56.15,292.30,59.37,293.97,0,1,0,0.059
31,43.21,88.01,46.32,89.53,0,0,1,0.052
32,305.09,81.66,308.22,83.21,0,1,0,0.053
33,209.31,139.08,212.58,140.78,0,0,0,0.061
34,292.37,285.88,295.49,287.45,0,0,0,0.054
35,336.93,234.76,340.18,236.45,0,0,0,0.06
36,253.93,228.46,257.04,230.16,0,0,0,0.058
37,132.62,317.86,135.82,319.49,0,0,0,0.057
38,317.94,177.44,321.05,179.09,0,0,0,0.056
39,100.77,266.72,104.05,268.25,0,0,0,0.055
40,151.92,285.98,155.14,287.58,0,1,0,0.056
41,56.05,253.97,59.29,255.64,0,0,0,0.059
42,330.55,100.80,333.69,102.43,0,0,0,0.056
43,132.70,139.10,135.95,140.73,0,0,0,0.058
44,36.93,311.37,40.22,313.04,0,0,0,0.06
45,234.93,260.34,238.10,262.03,0,0,0,0.058
46,273.18,170.95,276.45,172.62,0,0,1,0.059
47,336.99,254.04,340.19,255.65,0,0,0,0.056
48,139.13,286.00,142.30,287.55,0,0,0,0.054
49,343.42,241.16,346.71,242.83,0,1,0,0.06
50,158.20,202.99,161.46,204.58,0,0,0,0.057
51,68.91,209.35,72.01,210.89,0,0,0,0.053
52,260.35,241.16,263.64,242.74,0,0,0,0.056
53,126.38,266.78,129.50,268.45,0,0,0,0.057
54,75.20,317.89,78.41,319.44,0,0,0,0.054
55,279.54,151.90,282.77,153.40,0,0,1,0.053
56,285.87,196.64,289.09,198.32,0,0,1,0.059
57,234.93,292.29,238.07,293.83,0,0,0,0.053
58,132.67,68.75,135.90,70.41,0,0,0,0.059
59,292.37,17.69,295.52,19.36,0,0,0,0.058
60,56.02,222.12,59.20,223.78,0,1,0,0.058
61,100.77,203.03,103.87,204.58,0,1,0,0.053
62,222.16,62.44,225.32,64.13,0,0,0,0.059
63,151.87,203.02,154.99,204.57,0,1,0,0.053
64,298.62,183.69,301.84,185.25,0,0,1,0.055
65,273.08,4.95,276.25,6.56,0,0,0,0.056
66,260.42,254.05,263.53,255.71,0,1,0,0.057
67,151.76,81.68,154.87,83.36,0,1,0,0.057
68,273.10,24.21,276.32,25.74,0,0,0,0.054
69,292.39,190.22,295.51,191.78,0,1,1,0.054
70,253.95,24.25,257.09,25.76,0,1,0,0.052
71,100.79,279.51,104.06,281.08,0,0,0,0.056
72,337.06,100.71,340.18,102.29,0,1,0,0.054
73,139.10,247.56,142.32,249.22,0,0,0,0.058
74,247.64,75.32,250.74,77.02,0,0,0,0.058
75,177.40,88.00,180.67,89.55,0,0,0,0.055
76,75.31,234.77,78.60,236.41,0,0,0,0.059
77,183.82,311.47,187.05,313.09,0,0,0,0.057
78,247.58,5.05,250.74,6.70,0,0,0,0.057
79,113.62,119.88,116.85,121.55,0,0,0,0.059
80,81.71,43.35,85.01,44.94,0,0,1,0.057
81,4.94,62.46,8.18,64.05,0,0,0,0.056
82,132.70,273.23,135.98,274.86,0,0,0,0.058
83,273.24,132.72,276.37,134.29,0,0,1,0.054
84,336.92,285.97,340.15,287.52,0,1,0,0.055
85,279.56,209.25,282.66,210.95,0,0,1,0.058
86,298.79,241.16,302.06,242.77,0,0,0,0.058
87,247.53,158.28,250.73,159.86,0,0,1,0.055
88,298.71,298.63,301.94,300.20,0,0,0,0.056
89,190.23,37.01,193.46,38.71,0,1,0,0.06
90,158.32,196.49,161.52,198.17,0,1,0,0.059
91,17.75,151.84,20.91,153.51,0,1,0,0.058
92,330.65,273.16,333.82,274.84,0,0,0,0.058
93,55.98,266.80,59.20,268.47,0,0,0,0.059
94,94.44,228.55,97.69,230.07,0,0,0,0.054
95,139.08,241.29,142.36,242.88,0,0,0,0.057
96,292.38,273.19,295.65,274.74,0,0,0,0.056
97,43.30,158.30,46.46,159.96,0,0,0,0.057
98,266.75,228.38,270.01,230.03,0,0,0,0.059
99,253.95,30.56,257.23,32.21,0,0,0,0.059
100,151.88,11.46,155.14,13.00,0,0,0,0.055
101,311.54,324.27,314.64,325.81,0,0,0,0.053
102,56.00,107.06,59.12,108.71,0,1,0,0.056
103,107.13,260.45,110.26,262.12,0,0,0,0.057
104,330.72,183.73,333.96,185.38,0,0,0,0.058
105,132.68,17.76,135.81,19.35,0,0,0,0.054
106,113.57,215.60,116.69,217.22,0,0,0,0.055
107,56.04,279.50,59.26,281.17,0,1,0,0.058
108,260.36,119.90,263.63,121.50,0,0,1,0.057
109,279.64,228.44,282.87,230.00,0,0,0,0.055
110,311.51,234.94,314.64,236.58,0,0,0,0.056
111,87.99,285.86,91.14,287.38,0,0,0,0.052
112,68.90,43.38,72.02,45.00,0,0,1,0.055
113,298.67,30.64,301.85,32.20,0,0,0,0.054
114,11.39,113.55,14.66,115.11,0,0,0,0.056
115,62.52,241.30,65.79,242.95,0,0,0,0.059
116,139.10,100.81,142.28,102.32,0,0,0,0.053
117,241.25,75.27,244.43,76.87,0,0,0,0.056
118,75.33,158.19,78.55,159.73,0,0,0,0.054
119,247.63,81.53,250.81,83.15,0,0,0,0.056
120,234.84,234.79,238.02,236.42,0,0,0,0.056
121,49.76,88.03,53.04,89.73,0,0,1,0.061
122,324.17,24.10,327.47,25.60,0,0,0,0.054
123,56.12,305.05,59.31,306.67,0,1,0,0.057
124,100.75,107.19,104.02,108.88,0,0,0,0.06
125,145.56,209.35,148.72,211.02,0,0,0,0.058
126,247.68,24.06,250.80,25.71,0,0,0,0.057
127,203.00,311.44,206.25,313.11,0,0,0,0.059
128,273.16,279.60,276.37,281.29,0,0,0,0.059
129,68.91,113.47,72.04,115.07,0,0,0,0.055
130,4.97,196.62,8.12,198.13,0,0,0,0.052
131,5.00,317.95,8.11,319.58,0,0,0,0.056
132,311.47,36.83,314.59,38.34,0,0,0,0.052
133,209.23,228.47,212.42,230.06,0,0,0,0.055
134,113.46,209.31,116.60,210.84,0,0,0,0.053
135,273.26,241.30,276.55,242.85,0,0,0,0.056
136,317.75,36.94,321.02,38.53,0,0,0,0.057
137,30.51,279.45,33.62,280.98,0,0,0,0.052
138,266.73,151.88,269.88,153.44,0,0,1,0.054
139,158.31,171.07,161.61,172.67,0,0,0,0.057
140,37.00,132.64,40.17,134.22,0,0,0,0.055
141,100.78,311.40,103.94,312.94,0,0,0,0.053
142,311.46,298.79,314.60,300.46,0,0,0,0.057
143,247.72,87.97,250.94,89.54,0,0,0,0.055
144,285.93,292.36,289.10,293.93,0,0,0,0.055
145,24.09,215.64,27.19,217.31,0,0,0,0.057
146,68.89,94.48,72.06,96.18,0,0,1,0.059
147,336.98,30.51,340.19,32.18,0,0,0,0.058
148,87.98,81.64,91.10,83.31,0,0,1,0.057
149,94.42,94.42,97.64,96.10,0,0,1,0.059
150,17.68,273.17,20.93,274.78,0,1,0,0.057
151,68.75,100.74,72.02,102.26,0,1,1,0.054
152,4.93,132.60,8.19,134.27,0,1,0,0.059
153,343.44,228.53,346.62,230.20,0,0,0,0.058
154,49.62,4.91,52.84,6.43,0,0,0,0.053
155,234.87,113.53,238.00,115.15,0,0,0,0.055
156,228.55,30.59,231.70,32.09,0,0,0,0.052
157,215.77,171.03,219.06,172.70,0,0,0,0.06
158,158.33,100.81,161.48,102.49,0,0,0,0.058
159,88.06,151.75,91.25,153.41,0,0,0,0.058
160,119.91,139.08,123.06,140.65,0,0,0,0.054
161,94.43,196.44,97.66,198.12,0,0,0,0.059
162,151.88,241.23,154.99,242.90,0,0,0,0.057
163,234.93,139.07,238.03,140.74,0,0,1,0.057
164,311.37,81.53,314.47,83.15,0,1,0,0.055
165,100.68,190.17,103.84,191.67,0,0,0,0.052
166,177.48,36.96,180.71,38.50,0,0,0,0.054
167,170.93,68.87,174.18,70.44,0,1,0,0.056
168,190.24,139.04,193.42,140.74,0,0,0,0.059
169,139.17,177.32,142.28,178.83,0,0,0,0.051
170,343.34,81.62,346.50,83.20,0,1,0,0.055
171,247.61,254.06,250.76,255.64,0,0,0,0.054
172,81.56,234.76,84.67,236.40,0,0,0,0.056
173,292.26,324.23,295.44,325.85,0,0,0,0.057
174,138.99,190.19,142.17,191.86,0,0,0,0.058
175,62.52,158.30,65.80,159.97,0,0,0,0.06
176,11.47,234.92,14.58,236.62,0,0,0,0.058
177,75.21,17.84,78.47,19.42,0,0,0,0.056
178,228.46,286.00,231.62,287.69,0,0,0,0.058
179,317.90,190.23,321.02,191.76,0,0,0,0.052
180,139.16,209.27,142.45,210.96,0,0,0,0.061
181,222.00,279.63,225.12,281.33,0,0,0,0.058
182,49.61,145.44,52.73,147.07,0,0,0,0.056
183,17.77,254.01,20.97,255.65,0,0,0,0.058
184,298.74,56.13,301.92,57.70,0,1,0,0.055
185,171.04,107.07,174.19,108.67,0,0,0,0.055
186,100.77,43.33,103.97,44.90,0,0,0,0.055
187,170.95,100.74,174.07,102.35,0,0,0,0.055
188,292.39,292.26,295.58,293.82,0,0,0,0.054
189,4.91,75.32,8.19,76.84,0,0,0,0.055
190,241.27,273.21,244.51,274.81,0,0,0,0.057
191,279.54,222.17,282.76,223.85,0,1,0,0.059
192,81.70,11.46,84.88,13.13,0,0,0,0.058
193,292.33,4.90,295.44,6.50,0,0,0,0.055
194,253.99,177.37,257.29,178.97,0,0,1,0.058
195,222.16,56.12,225.43,57.78,0,0,0,0.059
196,317.77,94.33,321.05,95.92,0,0,0,0.057
197,11.40,266.70,14.61,268.36,0,0,0,0.058
198,62.47,311.42,65.57,312.92,0,1,0,0.051
199,17.75,120.00,20.94,121.56,0,1,0,0.054
200,292.29,158.16,295.58,159.85,0,0,1,0.06
201,87.96,139.08,91.25,140.59,0,0,0,0.054
202,215.66,56.01,218.95,57.54,0,0,0,0.055
203,305.08,253.99,308.26,255.61,0,0,0,0.056
204,68.80,171.00,71.97,172.53,0,1,0,0.053
205,337.07,292.36,340.20,293.91,0,1,0,0.053
206,330.59,75.25,333.75,76.93,0,0,0,0.058
207,234.87,273.08,238.02,274.75,0,0,0,0.058
208,56.01,285.91,59.28,287.59,0,0,0,0.06
209,11.44,324.24,14.64,325.86,0,1,0,0.057
210,190.07,273.21,193.34,274.88,0,0,0,0.059
211,337.06,126.35,340.20,127.87,0,0,0,0.052
212,36.94,253.98,40.18,255.49,0,0,0,0.054
213,4.97,222.09,8.15,223.63,0,0,0,0.054
214,94.30,260.49,97.56,262.02,0,0,0,0.054
215,292.32,266.78,295.46,268.44,0,0,0,0.057
216,94.36,215.74,97.65,217.33,0,0,0,0.057
217,145.38,120.01,148.52,121.64,0,0,0,0.056
218,254.07,62.48,257.27,64.01,0,0,0,0.054
219,177.40,305.11,180.52,306.80,0,0,0,0.058
220,247.67,107.17,250.83,108.85,0,0,0,0.058
221,62.50,170.91,65.78,172.55,0,0,0,0.059
222,75.19,298.73,78.48,300.26,0,0,0,0.055
223,4.98,43.38,8.12,44.89,0,1,0,0.052
224,164.64,209.24,167.86,210.93,0,0,0,0.06
225,43.22,285.88,46.35,287.57,0,1,0,0.058
226,30.52,11.30,33.72,12.91,0,0,0,0.057
227,107.14,305.05,110.36,306.58,0,0,0,0.054
228,36.96,81.68,40.07,83.19,0,0,1,0.052
229,113.63,279.63,116.75,281.14,0,0,0,0.052
230,222.12,305.17,225.29,306.76,0,0,0,0.055
231,75.24,164.59,78.39,166.19,0,0,0,0.055
232,107.08,171.04,110.28,172.59,0,0,0,0.054
233,171.01,273.11,174.13,274.80,0,0,0,0.058
234,11.47,81.67,14.77,83.31,0,0,0,0.059
235,11.33,209.33,14.58,210.93,0,0,0,0.057
236,311.54,126.35,314.65,127.98,0,0,0,0.056
237,100.71,30.56,103.83,32.09,0,0,0,0.053
238,196.57,30.63,199.77,32.19,0,0,0,0.054
239,43.28,81.68,46.43,83.29,0,1,1,0.056
240,285.84,190.13,289.09,191.65,0,1,1,0.054
241,324.15,30.49,327.35,32.07,0,0,0,0.055
242,234.86,254.06,238.06,255.72,0,0,0,0.058
243,113.51,139.06,116.75,140.66,0,1,0,0.056
244,170.95,81.60,174.20,83.18,0,1,0,0.056
245,260.37,158.20,263.58,159.80,0,0,1,0.056
246,132.71,126.26,135.84,127.94,0,0,0,0.058
247,215.64,260.37,218.83,262.01,0,0,0,0.057
248,17.72,266.75,20.91,268.31,0,1,0,0.054
249,75.16,196.57,78.31,198.23,0,0,0,0.057
250,330.67,164.55,333.86,166.21,0,1,0,0.058
251,139.02,145.39,142.15,147.04,0,0,0,0.057
252,24.18,260.42,27.45,262.00,0,0,0,0.057
253,305.13,196.62,308.40,198.23,0,1,0,0.057
254,228.37,119.91,231.65,121.49,0,0,1,0.057
