,tl_x,tl_y,br_x,br_y,type,side,step,time
0,18.00,20.00,23.00,25.00,2,0,0,0.25
1,290.00,117.28,295.08,124.80,1,0,0,0.382
2,305.76,341.83,315.06,348.38,1,0,1,0.609
3,172.35,154.79,175.09,156.31,1,0,0,0.042
4,373.23,12.84,376.47,14.40,0,1,0,0.055
5,302.74,318.44,305.84,320.01,0,1,1,0.053
6,208.74,341.93,211.85,343.57,0,1,0,0.056
7,153.89,52.10,157.12,53.77,0,0,0,0.059
8,20.63,20.60,23.81,22.19,0,0,0,0.055
9,224.39,200.81,227.50,202.46,0,0,0,0.056
10,232.10,286.98,235.39,288.48,0,0,0,0.054
11,255.73,130.29,258.92,131.85,0,0,0,0.054
12,59.78,287.07,62.90,288.67,0,0,0,0.055
13,365.45,44.17,368.58,45.72,0,1,0,0.053
14,122.61,20.76,125.78,22.43,0,0,0,0.058
15,177.27,271.30,180.45,272.99,0,0,0,0.059
16,341.82,106.79,344.95,108.35,0,0,0,0.054
17,153.92,185.14,157.04,186.67,0,0,0,0.052
18,349.60,255.65,352.75,257.33,0,0,0,0.058
19,216.50,122.41,219.75,124.09,0,0,0,0.06
20,287.04,169.51,290.22,171.06,0,0,0,0.054
21,51.92,232.21,55.07,233.73,0,0,0,0.052
22,216.46,310.55,219.66,312.11,0,0,0,0.054
23,193.03,224.36,196.24,226.05,0,1,0,0.059
24,239.98,341.92,243.09,343.47,0,0,1,0.053
25,185.26,192.94,188.38,194.59,0,0,0,0.056
26,333.93,122.52,337.11,124.07,0,0,0,0.054
27,318.44,83.26,321.70,84.91,0,0,0,0.059
28,169.57,28.50,172.70,30.08,0,0,0,0.054
29,294.82,177.27,298.07,178.89,0,1,0,0.058
30,349.61,75.59,352.81,77.16,0,0,0,0.055
31,138.27,106.78,141.42,108.39,0,0,0,0.055
32,279.22,20.59,282.36,22.11,0,0,0,0.052
33,310.54,232.23,313.81,233.83,0,1,0,0.057
34,138.24,177.30,141.44,178.96,0,0,0,0.058
35,224.44,138.12,227.56,139.74,0,0,0,0.055
36,357.60,333.94,360.84,335.58,0,0,0,0.058
37,52.05,310.47,55.16,312.04,0,0,0,0.054
38,373.20,75.45,376.33,77.05,0,0,0,0.055
39,294.88,145.93,298.15,147.47,0,1,0,0.055
40,216.44,239.98,219.66,241.60,0,0,0,0.057
41,247.86,20.77,251.04,22.44,0,0,0,0.058
42,51.91,247.76,55.01,249.32,0,0,0,0.053
43,44.20,271.36,47.36,272.93,0,0,0,0.054
44,318.28,287.08,321.53,288.70,0,0,1,0.058
45,240.00,122.55,243.19,124.08,0,0,0,0.054
46,75.52,4.98,78.70,6.62,0,0,0,0.057
47,20.68,247.93,23.82,249.45,0,1,0,0.052
48,67.72,247.80,70.83,249.38,0,0,0,0.054
49,59.80,130.41,62.93,131.95,0,0,0,0.053
50,114.63,240.05,117.83,241.67,0,1,0,0.057
51,232.12,232.22,235.41,233.80,0,0,0,0.057
52,99.03,138.27,102.17,139.83,0,0,0,0.054
53,341.94,130.27,345.04,131.87,0,0,0,0.055
54,28.48,67.75,31.60,69.39,0,0,0,0.056
55,357.55,177.30,360.85,178.95,0,0,0,0.059
56,286.94,138.14,290.12,139.69,0,0,0,0.054
57,28.46,52.04,31.69,53.64,0,0,0,0.056
58,224.39,20.73,227.65,22.31,0,0,0,0.056
59,169.53,200.77,172.78,202.43,0,0,0,0.059
60,239.97,83.36,243.13,85.04,0,0,0,0.058
61,302.76,271.42,306.01,272.97,0,0,1,0.055
62,318.30,224.39,321.59,225.96,0,1,0,0.056
63,294.88,83.35,298.00,85.05,0,0,0,0.058
64,357.62,263.42,360.76,265.00,0,1,0,0.054
65,365.40,302.76,368.64,304.32,0,1,0,0.055
66,185.27,4.91,188.48,6.57,0,0,0,0.058
67,185.26,106.80,188.39,108.49,0,0,0,0.058
