,tl_x,tl_y,br_x,br_y,type,side,step,time
0,469.00,3.00,474.00,8.00,2,0,0,0.25
1,400.65,170.07,407.12,178.03,0,0,0,0.539
2,242.81,100.20,252.40,103.63,0,0,1,0.339
3,370.59,50.54,372.57,51.81,0,0,0,0.029
4,385.04,156.99,399.75,163.95,0,1,0,1.045
5,412.92,142.80,425.07,144.09,0,0,0,0.161
6,90.48,160.47,132.68,190.80,0,1,0,12.89
7,290.94,53.13,292.57,53.90,0,0,0,0.015
8,250.50,110.35,253.06,113.52,0,0,1,0.091
9,130.24,210.81,134.81,214.02,0,0,0,0.156
10,51.22,207.67,57.75,215.68,0,1,0,0.547
11,188.23,162.88,190.91,167.65,0,0,1,0.142
12,320.76,190.40,358.09,232.67,0,0,0,15.906
13,430.10,250.52,433.27,252.11,0,0,0,0.055
14,30.78,80.38,50.97,124.81,0,0,0,9.101
15,432.60,60.73,433.81,63.00,0,0,0,0.034
16,236.30,44.78,236.88,45.71,0,0,0,0.008
17,197.76,75.47,200.31,78.67,0,0,0,0.091
18,340.39,40.60,360.51,84.00,0,0,0,8.862
19,406.96,52.82,407.46,53.89,0,1,0,0.009
20,325.32,12.64,326.67,16.17,0,0,0,0.058
21,203.87,40.71,208.89,46.38,0,1,0,0.302
22,185.57,31.07,188.74,32.75,0,0,0,0.058
23,393.59,22.34,397.62,26.86,0,0,0,0.196
24,170.41,40.88,176.03,45.89,0,1,0,0.297
25,410.09,20.28,414.66,23.51,0,0,0,0.157
26,420.12,120.69,423.27,122.30,0,0,0,0.056
27,20.19,220.75,22.68,224.01,0,0,0,0.091
28,210.57,80.81,233.68,127.87,0,0,1,11.017
29,460.45,220.93,466.85,228.90,0,0,0,0.534
30,243.42,123.08,246.60,124.73,0,0,1,0.057
31,270.07,170.39,272.00,171.60,0,1,0,0.027
32,408.71,227.97,411.86,230.37,0,1,0,0.083
33,290.71,180.81,293.97,182.35,0,0,0,0.055
34,290.60,130.25,349.47,173.81,0,0,0,25.774
35,409.80,46.45,411.40,47.27,0,0,0,0.016
36,426.34,52.12,429.57,54.69,0,1,0,0.091
37,331.07,57.43,337.08,59.30,0,0,0,0.118
38,260.49,100.48,301.17,120.88,0,0,1,8.358
39,140.07,260.43,145.83,265.39,0,0,0,0.301
40,380.83,260.17,457.26,290.99,0,0,0,23.648
41,328.31,58.63,329.70,73.14,0,0,0,0.245
42,260.60,20.65,287.52,67.96,0,0,0,12.878
43,10.21,210.26,16.18,215.96,0,0,0,0.357
44,90.22,230.51,126.96,279.05,0,0,0,17.982
45,195.31,67.78,196.23,68.31,0,0,0,0.006
46,50.22,10.47,51.79,11.87,0,0,0,0.026
47,130.27,280.75,133.43,285.19,0,0,0,0.154
48,262.42,132.64,265.62,134.34,0,0,1,0.06
49,325.83,86.88,326.73,88.39,0,0,0,0.018
50,470.05,20.72,490.36,62.31,0,0,0,8.572
51,70.35,110.24,90.88,160.00,0,0,0,10.367
52,280.47,200.27,281.47,203.35,0,0,0,0.04
53,19.47,186.94,20.19,188.55,0,0,0,0.016
54,180.56,184.14,183.76,186.66,0,0,1,0.088
55,370.81,240.93,375.75,246.56,0,1,0,0.295
56,150.69,250.49,221.47,271.81,0,0,0,15.151
57,398.69,198.24,399.97,199.61,0,0,0,0.022
58,90.62,10.87,150.61,40.63,0,0,0,17.939
59,230.65,250.90,233.19,254.01,0,0,0,0.088
60,312.64,82.41,317.70,88.05,0,0,0,0.302
61,237.64,18.67,238.74,23.54,0,0,0,0.068
62,182.16,144.10,185.91,148.13,0,1,1,0.163
63,331.44,44.62,334.05,46.46,0,0,0,0.054
64,179.51,76.27,182.70,80.73,0,1,0,0.156
65,380.71,125.48,383.84,127.06,0,0,0,0.054
66,313.99,4.89,314.92,5.39,0,0,0,0.006
67,260.42,250.46,318.46,270.46,0,0,0,11.671
68,220.09,30.61,226.68,38.54,0,0,0,0.546
69,196.45,59.64,198.01,62.79,0,0,0,0.059
70,20.47,260.71,26.21,265.78,0,0,0,0.306
71,429.56,84.81,432.10,86.42,0,1,0,0.046
72,60.06,170.38,61.99,171.59,0,1,0,0.027
73,404.62,162.31,409.67,168.07,0,0,0,0.308
74,80.38,220.07,83.27,232.42,0,0,0,0.394
75,15.58,66.49,18.74,68.94,0,1,0,0.085
76,140.28,0.06,141.47,2.07,0,0,0,0.03
77,371.30,31.21,375.87,34.39,0,1,0,0.155
78,470.17,210.47,471.02,212.06,0,1,0,0.018
79,80.62,0.93,87.17,8.95,0,0,0,0.549
80,22.52,157.81,25.64,159.44,0,0,0,0.056
81,217.22,43.73,218.82,44.62,0,0,0,0.017
82,390.87,170.90,397.44,178.92,0,0,0,0.551
83,254.17,134.37,266.62,149.02,0,0,1,1.868
84,180.76,40.13,187.25,48.10,0,1,0,0.541
85,371.75,170.10,376.82,175.73,0,1,0,0.302
86,24.35,61.77,29.27,67.37,0,0,0,0.292
87,360.30,20.51,367.49,24.16,0,1,0,0.273
88,180.33,196.76,183.47,201.19,0,0,0,0.152
89,370.72,53.48,374.00,58.04,0,0,0,0.163
90,370.64,200.12,378.60,206.62,0,1,0,0.537
91,241.20,127.61,242.18,128.11,0,0,1,0.006
92,282.52,126.92,285.68,128.51,0,1,0,0.055
93,167.36,231.81,168.30,232.31,0,0,0,0.006
94,80.90,70.91,82.21,72.90,0,0,0,0.032
95,160.57,90.45,161.85,92.48,0,1,0,0.032
96,223.74,54.19,224.92,56.12,0,1,0,0.029
97,165.68,82.64,170.73,88.33,0,1,0,0.304
98,140.59,158.13,154.02,162.13,0,0,0,0.549
99,430.19,120.35,431.87,121.21,0,0,0,0.017
100,369.68,6.34,372.86,8.90,0,0,0,0.089
101,192.04,244.83,195.17,247.40,0,0,0,0.088
102,380.42,130.77,382.86,133.89,0,0,0,0.085
103,450.51,10.42,452.47,11.64,0,0,0,0.028
104,0.00,86.59,6.35,89.07,0,0,0,0.165
105,249.39,66.27,255.83,74.21,0,0,0,0.535
106,179.34,162.96,183.92,166.21,0,0,1,0.159
107,180.94,211.72,184.14,213.35,0,1,0,0.057
108,220.31,140.19,221.86,140.94,0,0,1,0.014
109,246.64,116.42,252.43,121.48,0,0,1,0.308
110,415.13,58.60,418.39,63.09,0,0,0,0.16
111,177.56,63.62,181.95,75.28,0,0,0,0.547
112,414.44,35.42,422.40,41.83,0,0,0,0.529
113,29.64,210.06,30.14,210.98,0,0,0,0.007
114,295.69,0.67,301.77,13.65,0,0,0,0.828
115,213.75,8.49,214.78,8.99,0,0,0,0.007
116,250.57,56.26,252.15,59.44,0,1,0,0.06
117,142.24,183.38,179.51,230.63,0,0,1,17.753
118,384.50,125.33,386.21,134.51,0,0,0,0.185
119,52.25,166.43,53.58,168.46,0,0,0,0.033
120,180.14,20.49,180.64,21.39,0,0,0,0.007
121,207.45,58.42,208.54,58.99,0,1,0,0.008
122,405.20,0.00,406.81,0.71,0,1,0,0.014
123,14.76,73.34,26.18,74.56,0,1,0,0.143
124,190.46,40.64,196.26,45.74,0,0,0,0.311
125,433.57,67.22,437.97,70.45,0,0,0,0.152
126,193.04,46.60,195.54,49.87,0,1,0,0.092
127,145.60,230.65,148.10,233.93,0,0,0,0.092
128,139.52,207.03,140.02,208.05,0,0,0,0.008
129,198.64,44.31,199.54,45.90,0,0,0,0.019
130,380.07,250.82,382.51,254.08,0,1,0,0.089
131,416.60,71.42,430.89,76.72,0,1,0,0.773
132,60.60,250.50,81.13,290.67,0,0,0,8.365
133,390.91,110.69,411.23,154.34,0,0,0,9.001
134,480.26,150.52,487.40,154.92,0,0,0,0.327
135,387.92,36.91,389.44,37.73,0,0,0,0.015
136,130.29,80.71,135.38,86.31,0,0,0,0.302
137,373.24,194.62,376.49,197.16,0,0,0,0.09
138,10.08,220.59,11.16,221.19,0,1,0,0.008
139,228.72,42.52,233.19,45.68,0,1,0,0.151
140,210.61,50.32,212.17,51.14,0,0,0,0.015
141,163.39,179.58,164.12,181.14,0,0,0,0.016
142,24.37,186.18,31.61,187.25,0,0,0,0.081
143,390.74,70.60,402.77,83.98,0,0,0,1.65
144,255.34,150.75,266.79,151.79,0,0,1,0.122
145,390.47,100.93,396.18,105.85,0,0,0,0.296
146,189.99,56.78,193.27,61.31,0,0,0,0.162
147,168.22,162.41,171.52,166.93,0,1,1,0.163
148,387.26,15.19,392.93,20.29,0,0,0,0.304
149,181.24,220.89,183.22,222.18,0,0,0,0.029
150,480.79,0.75,485.79,6.48,0,0,0,0.304
151,397.29,93.25,398.47,102.35,0,1,0,0.135
152,0.00,30.85,1.65,31.71,0,0,0,0.017
153,302.33,115.98,310.35,122.45,0,0,0,0.538
154,427.62,19.65,434.17,27.59,0,0,0,0.544
155,391.10,184.83,394.35,189.30,0,1,0,0.159
156,360.62,197.65,365.17,200.87,0,0,0,0.156
157,376.18,95.92,378.62,99.16,0,0,0,0.089
158,373.76,21.99,381.70,28.56,0,0,0,0.541
159,150.41,50.10,156.87,58.18,0,0,0,0.546
160,170.83,10.73,178.81,17.23,0,0,0,0.538
161,270.69,210.34,273.82,212.76,0,0,0,0.083
162,383.35,82.70,388.41,88.50,0,0,0,0.311
163,50.59,60.94,58.58,67.38,0,0,0,0.534
164,155.17,160.66,160.84,165.75,0,0,0,0.304
165,380.82,80.25,382.48,90.93,0,0,0,0.209
166,158.59,152.47,161.84,157.02,0,0,0,0.162
167,409.17,29.25,409.95,30.92,0,0,0,0.018
168,261.01,97.01,261.51,98.05,0,0,1,0.008
169,251.78,43.53,254.20,46.69,0,0,0,0.086
170,139.24,226.81,139.74,227.79,0,0,0,0.008
