,tl_x,tl_y,br_x,br_y,type,side,step,time
0,273.00,259.00,278.00,264.00,2,0,0,0.25
1,330.43,137.48,345.11,140.40,1,0,1,0.429
2,70.29,200.72,143.75,273.91,0,1,0,53.985
3,367.56,198.97,378.42,207.34,0,1,0,0.934
4,358.60,34.37,360.21,35.21,0,1,0,0.016
5,285.36,213.82,286.93,217.12,0,1,0,0.062
6,40.64,40.93,93.37,102.35,0,0,0,32.571
7,317.67,47.41,320.97,49.91,0,0,0,0.09
8,289.16,103.53,295.59,111.56,0,0,1,0.54
9,230.68,160.36,254.43,208.79,0,1,0,11.647
10,365.33,153.58,369.74,156.87,0,0,1,0.155
11,342.48,57.03,346.94,60.31,0,0,0,0.156
12,158.24,282.43,159.12,284.00,0,0,0,0.019
13,330.93,230.55,351.13,277.46,0,0,0,9.614
14,176.76,197.58,179.28,200.85,0,0,0,0.092
15,94.30,180.10,102.25,186.51,0,0,0,0.529
16,276.49,60.43,278.53,61.58,0,0,0,0.027
17,250.91,20.60,255.35,23.87,0,1,0,0.155
18,160.41,102.44,162.10,105.71,0,0,0,0.065
19,409.93,127.01,410.97,128.01,0,0,1,0.013
20,80.32,108.95,81.84,109.80,0,0,0,0.015
21,46.80,227.28,54.04,233.57,0,0,0,0.474
22,130.39,50.83,179.14,79.94,0,0,0,14.276
23,229.01,76.12,236.93,82.56,0,0,0,0.529
24,349.43,152.89,355.09,162.46,0,0,1,0.57
25,303.86,211.28,307.12,213.80,0,0,0,0.09
26,160.13,120.25,219.08,160.08,0,1,0,23.599
27,370.65,50.36,372.24,51.17,0,0,0,0.015
28,394.35,154.39,394.85,155.40,0,0,1,0.008
29,297.35,77.45,298.98,78.21,0,0,0,0.015
30,290.30,199.39,293.42,201.01,0,0,0,0.055
31,191.07,215.39,192.69,218.69,0,0,0,0.063
32,220.27,220.14,260.27,260.15,0,0,0,16.124
33,80.43,130.08,82.11,133.34,0,0,0,0.065
34,42.01,119.17,43.60,120.06,0,0,0,0.017
35,169.21,234.56,181.33,237.60,0,0,0,0.378
36,330.49,156.15,331.81,158.18,0,0,1,0.033
37,296.12,107.54,297.69,108.26,0,0,1,0.013
38,370.87,159.83,376.65,164.75,0,1,1,0.299
39,329.50,220.03,330.67,232.39,0,0,0,0.182
40,20.23,80.71,28.85,82.87,0,0,0,0.193
41,330.07,90.43,378.74,122.48,0,0,1,15.697
42,296.56,58.32,298.10,62.86,0,0,0,0.084
43,380.49,50.90,420.57,91.18,0,0,0,16.265
44,307.86,58.83,308.93,59.35,0,0,0,0.007
45,168.43,42.75,169.99,46.13,0,0,0,0.063
46,365.73,177.62,368.29,180.73,0,0,1,0.089
47,240.34,90.58,241.68,92.63,0,1,0,0.034
48,278.95,227.99,280.20,229.97,0,0,0,0.031
49,283.24,106.26,288.28,111.87,0,0,1,0.3
50,104.01,76.87,106.49,80.02,0,0,0,0.088
51,378.18,277.80,379.42,279.79,0,0,0,0.031
52,210.25,190.06,212.70,193.17,0,0,0,0.086
53,34.06,111.05,37.25,115.52,0,0,0,0.156
54,388.17,170.79,393.84,175.82,0,0,1,0.3
55,406.43,167.27,414.88,173.42,0,0,1,0.538
56,76.03,150.24,78.01,151.42,0,1,0,0.027
57,360.48,140.51,362.09,143.75,0,0,1,0.062
58,336.21,183.16,337.45,185.13,0,0,1,0.03
59,277.30,125.87,288.40,126.87,0,1,1,0.114
60,306.46,91.82,311.00,95.00,0,0,0,0.154
61,314.07,129.09,322.03,130.42,0,0,1,0.11
62,265.59,262.52,266.65,263.05,0,0,0,0.007
63,356.55,47.71,357.14,48.66,0,0,0,0.008
64,410.83,10.26,413.99,12.77,0,0,0,0.087
65,54.89,278.07,65.06,280.04,0,0,0,0.206
66,169.80,48.17,172.97,50.58,0,0,0,0.084
67,160.19,110.17,169.33,115.62,0,0,0,0.514
68,190.66,0.21,236.58,54.78,0,0,0,25.222
69,0.14,180.36,42.71,223.50,0,0,0,18.494
70,315.09,84.72,316.39,86.67,0,0,0,0.031
71,307.63,101.39,310.91,102.94,0,0,1,0.055
72,300.48,120.12,301.32,121.81,0,1,1,0.019
73,327.08,196.68,331.40,197.68,0,1,0,0.046
74,376.11,174.01,376.95,175.54,0,0,1,0.017
75,10.95,101.48,12.21,103.41,0,0,0,0.03
76,29.63,96.97,30.17,97.93,0,0,0,0.008
77,278.20,202.77,282.62,205.96,0,1,0,0.151
78,378.61,169.95,379.15,170.90,0,1,1,0.008
79,167.17,168.51,168.56,172.14,0,0,0,0.061
80,358.72,224.89,359.52,226.56,0,0,0,0.018
81,102.61,276.76,107.37,280.41,0,0,0,0.185
82,57.40,275.35,60.70,277.77,0,0,0,0.087
83,332.81,51.28,338.54,56.34,0,0,0,0.305
84,151.06,195.14,153.74,197.02,0,0,0,0.056
85,102.38,73.57,105.50,76.00,0,1,0,0.083
86,343.67,213.33,344.58,213.92,0,1,0,0.007
87,110.30,90.90,130.46,168.52,0,0,0,15.881
88,326.02,202.12,327.24,204.10,0,0,0,0.03
89,0.57,250.85,7.09,258.83,0,0,0,0.544
90,192.60,98.56,193.89,111.41,0,1,0,0.204
91,35.30,254.59,36.85,255.36,0,0,0,0.014
92,368.11,87.89,371.39,89.51,0,0,0,0.058
93,0.79,0.64,3.27,3.83,0,1,0,0.089
94,181.54,167.69,195.43,170.27,0,0,0,0.366
95,80.94,170.18,84.06,171.70,0,0,0,0.052
96,337.96,215.21,338.95,215.71,0,0,0,0.006
97,130.90,140.40,132.86,141.70,0,0,0,0.029
98,22.99,227.65,29.45,235.62,0,0,0,0.539
99,250.62,30.88,263.70,39.56,0,0,0,1.161
100,371.37,72.09,372.22,73.62,0,0,0,0.018
101,400.56,160.09,405.18,162.29,0,0,1,0.108
102,359.73,183.41,360.32,184.40,0,0,1,0.009
103,345.06,72.71,349.49,75.95,0,1,0,0.153
104,358.54,40.23,366.64,46.82,0,0,0,0.554
105,351.65,76.94,354.23,80.08,0,0,0,0.09
106,282.79,59.07,284.79,60.41,0,0,0,0.031
107,145.29,16.19,149.78,19.33,0,0,0,0.15
108,234.24,93.11,235.84,96.37,0,0,0,0.062
109,50.66,10.18,55.71,15.95,0,1,0,0.309
110,384.05,187.18,386.80,192.91,0,0,0,0.175
111,347.99,17.59,351.27,19.24,0,1,0,0.059
112,310.21,230.32,317.84,233.44,0,0,0,0.247
113,274.62,115.62,275.90,117.54,0,0,0,0.03
114,207.96,176.35,209.95,177.51,0,1,0,0.027
115,347.92,64.06,352.87,69.79,0,0,0,0.301
116,380.67,140.21,392.82,142.14,0,0,1,0.24
117,330.30,0.71,334.77,3.84,0,0,0,0.149
118,52.20,121.76,53.22,129.54,0,1,0,0.103
119,352.71,167.04,354.21,170.25,0,0,1,0.058
120,276.30,87.19,277.25,87.69,0,1,0,0.006
121,324.78,70.16,336.07,73.22,0,0,0,0.355
122,174.19,172.30,187.04,183.15,0,0,0,1.427
123,326.79,157.36,327.29,158.41,0,0,1,0.008
124,97.57,30.94,104.08,38.95,0,0,0,0.545
125,353.89,210.90,354.68,212.50,0,0,0,0.017
126,32.53,110.64,33.35,112.22,0,1,0,0.018
127,407.39,35.36,421.16,48.69,0,0,0,1.876
128,356.02,264.23,360.56,267.53,0,0,0,0.16
129,190.09,270.58,196.49,278.50,0,0,0,0.531
130,156.53,209.00,158.23,212.25,0,0,0,0.065
131,282.68,183.92,283.94,185.92,0,0,0,0.031
132,260.65,240.08,262.69,241.28,0,0,0,0.028
133,364.94,211.27,368.08,213.79,0,0,0,0.087
134,97.25,66.93,105.26,70.01,0,1,0,0.256
135,181.11,62.09,190.81,65.36,0,0,0,0.327
136,336.51,67.13,344.58,73.57,0,0,0,0.539
137,373.80,52.17,374.65,53.72,0,0,0,0.018
138,26.53,87.63,27.35,89.24,0,1,0,0.018
139,155.36,196.01,158.65,197.56,0,0,0,0.056
140,181.06,67.35,182.08,67.85,0,0,0,0.007
141,325.11,180.02,329.55,183.13,0,0,1,0.147
142,336.60,188.97,341.60,194.73,0,0,0,0.305
143,372.64,61.00,375.91,63.44,0,0,0,0.087
144,309.34,49.78,314.02,50.82,0,1,0,0.052
145,368.50,185.39,370.15,188.63,0,0,1,0.063
146,380.29,110.51,382.35,111.71,0,1,1,0.028
147,175.30,83.41,175.80,84.33,0,0,0,0.007
148,0.00,77.97,7.99,84.38,0,0,0,0.531
149,300.69,150.84,305.25,153.99,0,0,1,0.153
150,320.26,230.42,326.75,238.34,0,0,0,0.538
151,309.25,159.27,319.67,163.32,0,0,1,0.434
152,308.42,75.23,311.71,77.78,0,1,0,0.092
153,20.25,50.59,27.51,51.82,0,0,0,0.093
154,339.65,53.25,341.30,53.97,0,0,0,0.014
155,208.72,190.03,209.44,191.62,0,0,0,0.016
156,323.93,190.94,325.49,194.05,0,0,0,0.058
157,298.21,49.82,305.74,56.93,0,0,0,0.557
158,277.45,89.77,279.02,90.61,0,0,0,0.016
159,381.26,180.26,389.13,181.33,0,0,1,0.087
